15275558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15275558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15385000, Heave Mean: -0.043, Heave Variance: 0.000, Elements: -0.044 -0.044 -0.043 -0.043 -0.042 -0.042
15475557, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15475557, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15585000, Heave Mean: -0.043, Heave Variance: 0.000, Elements: -0.044 -0.043 -0.043 -0.042 -0.042 -0.042
15675557, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15675557, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15785000, Heave Mean: -0.042, Heave Variance: 0.000, Elements: -0.043 -0.043 -0.042 -0.042 -0.042 -0.041
15875558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15875558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
15985000, Heave Mean: -0.042, Heave Variance: 0.000, Elements: -0.043 -0.042 -0.042 -0.042 -0.041 -0.041
16070696, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
16070696, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
16185000, Heave Mean: -0.041, Heave Variance: 0.000, Elements: -0.042 -0.042 -0.042 -0.041 -0.041 -0.040
16275559, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16275559, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16385000, Heave Mean: -0.041, Heave Variance: 0.000, Elements: -0.042 -0.042 -0.041 -0.041 -0.040 -0.040
16475558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16475558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16585000, Heave Mean: -0.040, Heave Variance: 0.000, Elements: -0.042 -0.041 -0.041 -0.040 -0.040 -0.039
16675558, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16675558, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16785000, Heave Mean: -0.040, Heave Variance: 0.000, Elements: -0.041 -0.041 -0.040 -0.040 -0.039 -0.039
16875560, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16875560, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000
16985000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.041 -0.040 -0.040 -0.039 -0.039 -0.039
16264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
16264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
17185000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.040 -0.040 -0.039 -0.039 -0.039 -0.038
16464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000
16464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17385000, Heave Mean: -0.039, Heave Variance: 0.000, Elements: -0.040 -0.039 -0.039 -0.039 -0.038 -0.038
16664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
16664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
17585000, Heave Mean: -0.038, Heave Variance: 0.000, Elements: -0.039 -0.039 -0.039 -0.038 -0.038 -0.037
16864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
